2026-01-24 20:47:24,035 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-24 20:47:24,091 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-24 20:47:24,092 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-24 20:47:24,092 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-24 20:47:24,131 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-24 20:47:24,131 | BASE_PAGE | INFO | Opening url /#/login
2026-01-24 20:47:25,517 | BASE_PAGE | INFO | Closing welcome banner
2026-01-24 20:47:26,635 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-24 20:47:26,635 | INPUT | INFO | Fill input Email with hjohnson@example.org
2026-01-24 20:47:27,183 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-24 20:47:27,183 | INPUT | INFO | Checking that input Email has value hjohnson@example.org
2026-01-24 20:47:27,190 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-24 20:47:27,190 | INPUT | INFO | Fill input Password with ^$0#kUx4Xg
2026-01-24 20:47:27,712 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-24 20:47:27,713 | INPUT | INFO | Checking that input Password has value ^$0#kUx4Xg
2026-01-24 20:47:27,747 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-24 20:47:27,747 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-24 20:47:28,939 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-24 20:47:28,972 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-24 20:47:28,973 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:28,992 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:28,993 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:29,019 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:29,022 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-24 20:47:29,545 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-24 20:47:29,545 | TEXT | INFO | Getting text Membership Fee
2026-01-24 20:47:29,558 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-24 20:47:29,559 | BUTTON | INFO | Checking button Become member is enabled
2026-01-24 20:47:29,574 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-24 20:47:29,575 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-24 20:47:30,178 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-24 20:47:30,178 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-24 20:47:30,190 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-24 20:47:30,190 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-24 20:47:30,769 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-24 20:47:30,769 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-24 20:47:30,784 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:30,821 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-24 20:47:30,821 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-24 20:47:30,821 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
