2026-02-03 15:58:00,291 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-02-03 15:58:00,350 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-02-03 15:58:00,351 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-02-03 15:58:00,351 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-02-03 15:58:00,393 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-02-03 15:58:00,393 | BASE_PAGE | INFO | Opening url /#/login
2026-02-03 15:58:01,750 | BASE_PAGE | INFO | Closing welcome banner
2026-02-03 15:58:02,876 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-02-03 15:58:02,876 | INPUT | INFO | Fill input Email with hcompton@example.com
2026-02-03 15:58:03,402 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-02-03 15:58:03,402 | INPUT | INFO | Checking that input Email has value hcompton@example.com
2026-02-03 15:58:03,409 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-02-03 15:58:03,409 | INPUT | INFO | Fill input Password with 61RWzbfm_s
2026-02-03 15:58:03,934 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-02-03 15:58:03,934 | INPUT | INFO | Checking that input Password has value 61RWzbfm_s
2026-02-03 15:58:03,959 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-02-03 15:58:03,959 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-02-03 15:58:05,088 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-02-03 15:58:05,137 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-02-03 15:58:05,138 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:05,153 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:05,154 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:05,181 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:05,183 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-02-03 15:58:05,705 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-02-03 15:58:05,705 | TEXT | INFO | Getting text Membership Fee
2026-02-03 15:58:05,720 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-02-03 15:58:05,720 | BUTTON | INFO | Checking button Become member is enabled
2026-02-03 15:58:05,727 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-02-03 15:58:05,727 | BASE_ELEMENT | INFO | Clicking button Become member
2026-02-03 15:58:06,306 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-02-03 15:58:06,306 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-02-03 15:58:06,319 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-02-03 15:58:06,319 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-02-03 15:58:06,881 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-02-03 15:58:06,881 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-02-03 15:58:06,895 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:06,930 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-02-03 15:58:06,930 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-02-03 15:58:06,930 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
