2026-05-02 14:29:45,390 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:29:45,439 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:29:45,439 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:29:45,440 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:29:45,461 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:29:45,461 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:29:46,855 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:29:48,000 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:29:48,000 | INPUT | INFO | Fill input Email with laura17@example.org
2026-05-02 14:29:48,515 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:29:48,515 | INPUT | INFO | Checking that input Email has value laura17@example.org
2026-05-02 14:29:48,521 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:29:48,521 | INPUT | INFO | Fill input Password with _48V0vCRj$
2026-05-02 14:29:49,039 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:29:49,039 | INPUT | INFO | Checking that input Password has value _48V0vCRj$
2026-05-02 14:29:49,050 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:29:49,050 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:29:50,222 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:29:50,251 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:29:50,252 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:50,281 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:50,283 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:50,313 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:50,317 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:29:50,827 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:29:50,827 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:29:50,833 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:29:50,834 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:29:50,837 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:29:50,838 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:29:51,460 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:29:51,460 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:29:51,476 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:29:51,476 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:29:52,037 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:29:52,037 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:29:52,041 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:52,057 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:29:52,057 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:29:52,057 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
