2026-05-02 14:24:18,033 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:24:18,072 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:24:18,073 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:24:18,074 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:24:18,092 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:24:18,092 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:24:19,564 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:24:20,694 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:20,694 | INPUT | INFO | Fill input Email with keywilliam@example.net
2026-05-02 14:24:21,210 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:21,210 | INPUT | INFO | Checking that input Email has value keywilliam@example.net
2026-05-02 14:24:21,218 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:21,218 | INPUT | INFO | Fill input Password with Emu2pRQNF#
2026-05-02 14:24:21,751 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:21,751 | INPUT | INFO | Checking that input Password has value Emu2pRQNF#
2026-05-02 14:24:21,763 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:24:21,763 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:24:22,912 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:24:23,051 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:24:23,053 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:23,075 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:23,078 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:23,112 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:23,120 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:24:23,638 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:24:23,639 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:24:23,644 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:24:23,645 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:24:23,648 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:24:23,648 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:24:24,273 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:24:24,273 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:24:24,277 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:24:24,277 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:24:24,798 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:24:24,798 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:24:24,803 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:24,817 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:24,818 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:24:24,818 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
