2026-05-03 16:09:10,997 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-03 16:09:11,039 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-03 16:09:11,040 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-03 16:09:11,041 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:09:11,062 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:09:11,063 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:09:12,592 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:09:13,726 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:09:13,726 | INPUT | INFO | Fill input Email with james62@example.com
2026-05-03 16:09:14,239 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:09:14,239 | INPUT | INFO | Checking that input Email has value james62@example.com
2026-05-03 16:09:14,247 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:09:14,248 | INPUT | INFO | Fill input Password with R!6Ce_j0Xl
2026-05-03 16:09:14,783 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:09:14,784 | INPUT | INFO | Checking that input Password has value R!6Ce_j0Xl
2026-05-03 16:09:14,797 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:09:14,797 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:09:15,972 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-03 16:09:16,007 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-03 16:09:16,009 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:16,029 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:16,031 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:16,057 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:16,059 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-03 16:09:16,572 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-03 16:09:16,572 | TEXT | INFO | Getting text Membership Fee
2026-05-03 16:09:16,578 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:09:16,578 | BUTTON | INFO | Checking button Become member is enabled
2026-05-03 16:09:16,582 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:09:16,582 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-03 16:09:17,209 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:09:17,209 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-03 16:09:17,214 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:09:17,214 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-03 16:09:17,758 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-03 16:09:17,758 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-03 16:09:17,762 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:17,776 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:09:17,777 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-03 16:09:17,777 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
