2026-05-01 21:40:47,106 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-01 21:40:47,204 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-01 21:40:47,204 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-01 21:40:47,206 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:40:47,231 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:40:47,231 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:40:48,416 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:40:49,588 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:40:49,588 | INPUT | INFO | Fill input Email with ncook@example.com
2026-05-01 21:40:50,102 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:40:50,102 | INPUT | INFO | Checking that input Email has value ncook@example.com
2026-05-01 21:40:50,110 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:40:50,110 | INPUT | INFO | Fill input Password with #s8Aqo_4sp
2026-05-01 21:40:50,639 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:40:50,639 | INPUT | INFO | Checking that input Password has value #s8Aqo_4sp
2026-05-01 21:40:50,652 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:40:50,652 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:40:51,865 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-01 21:40:51,897 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-01 21:40:51,898 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:51,920 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:51,925 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:51,954 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:51,956 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-01 21:40:52,463 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-01 21:40:52,463 | TEXT | INFO | Getting text Membership Fee
2026-05-01 21:40:52,468 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:40:52,468 | BUTTON | INFO | Checking button Become member is enabled
2026-05-01 21:40:52,472 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:40:52,472 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-01 21:40:53,075 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:40:53,075 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-01 21:40:53,080 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:40:53,080 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-01 21:40:53,614 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-01 21:40:53,614 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-01 21:40:53,619 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:53,634 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:40:53,634 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-01 21:40:53,635 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
