2026-05-03 16:03:35,770 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-03 16:03:35,808 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-03 16:03:35,809 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-03 16:03:35,810 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:03:35,830 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:03:35,830 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:03:36,918 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:03:38,058 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:03:38,059 | INPUT | INFO | Fill input Email with pwest@example.org
2026-05-03 16:03:38,574 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:03:38,574 | INPUT | INFO | Checking that input Email has value pwest@example.org
2026-05-03 16:03:38,583 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:03:38,583 | INPUT | INFO | Fill input Password with ^TxO6sYn@7
2026-05-03 16:03:39,122 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:03:39,122 | INPUT | INFO | Checking that input Password has value ^TxO6sYn@7
2026-05-03 16:03:39,136 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:03:39,136 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:03:40,287 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-03 16:03:40,318 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-03 16:03:40,321 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:40,350 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:40,351 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:40,379 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:40,383 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-03 16:03:40,893 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-03 16:03:40,893 | TEXT | INFO | Getting text Membership Fee
2026-05-03 16:03:40,899 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:03:40,899 | BUTTON | INFO | Checking button Become member is enabled
2026-05-03 16:03:40,903 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:03:40,903 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-03 16:03:41,553 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:03:41,554 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-03 16:03:41,558 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:03:41,558 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-03 16:03:42,086 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-03 16:03:42,086 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-03 16:03:42,091 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:42,104 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:03:42,104 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-03 16:03:42,104 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
