2026-01-27 21:47:07,734 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-27 21:47:07,788 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-27 21:47:07,788 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-27 21:47:07,789 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-27 21:47:07,817 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-27 21:47:07,817 | BASE_PAGE | INFO | Opening url /#/login
2026-01-27 21:47:09,166 | BASE_PAGE | INFO | Closing welcome banner
2026-01-27 21:47:10,292 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:10,292 | INPUT | INFO | Fill input Email with joannsingh@example.net
2026-01-27 21:47:10,808 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:10,808 | INPUT | INFO | Checking that input Email has value joannsingh@example.net
2026-01-27 21:47:10,817 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:10,817 | INPUT | INFO | Fill input Password with IQ28dMgg2*
2026-01-27 21:47:11,350 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:11,351 | INPUT | INFO | Checking that input Password has value IQ28dMgg2*
2026-01-27 21:47:11,364 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-27 21:47:11,365 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-27 21:47:12,519 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-27 21:47:12,582 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-27 21:47:12,583 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:12,619 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:12,621 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:12,652 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:12,654 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-27 21:47:13,162 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-27 21:47:13,162 | TEXT | INFO | Getting text Membership Fee
2026-01-27 21:47:13,168 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-27 21:47:13,168 | BUTTON | INFO | Checking button Become member is enabled
2026-01-27 21:47:13,171 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-27 21:47:13,171 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-27 21:47:13,786 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-27 21:47:13,786 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-27 21:47:13,792 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-27 21:47:13,792 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-27 21:47:14,335 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-27 21:47:14,335 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-27 21:47:14,340 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:14,356 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:14,356 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-27 21:47:14,357 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
