2026-05-01 21:36:55,329 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-01 21:36:55,366 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-01 21:36:55,367 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-01 21:36:55,368 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:36:55,388 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:36:55,389 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:36:56,878 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:36:58,033 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:36:58,033 | INPUT | INFO | Fill input Email with robertsscott@example.net
2026-05-01 21:36:58,548 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:36:58,548 | INPUT | INFO | Checking that input Email has value robertsscott@example.net
2026-05-01 21:36:58,557 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:36:58,557 | INPUT | INFO | Fill input Password with 1EMF6WYa+o
2026-05-01 21:36:59,093 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:36:59,093 | INPUT | INFO | Checking that input Password has value 1EMF6WYa+o
2026-05-01 21:36:59,105 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:36:59,105 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:37:00,245 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-01 21:37:00,270 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-01 21:37:00,271 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:00,305 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:00,306 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:00,331 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:00,335 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-01 21:37:00,847 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-01 21:37:00,847 | TEXT | INFO | Getting text Membership Fee
2026-05-01 21:37:00,853 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:37:00,853 | BUTTON | INFO | Checking button Become member is enabled
2026-05-01 21:37:00,857 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:37:00,857 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-01 21:37:01,447 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:37:01,447 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-01 21:37:01,454 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:37:01,454 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-01 21:37:02,005 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-01 21:37:02,005 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-01 21:37:02,009 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:02,022 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:37:02,023 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-01 21:37:02,023 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
