2026-05-02 14:05:27,383 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:05:27,427 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:05:27,428 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:05:27,430 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:05:27,452 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:05:27,453 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:05:28,686 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:05:29,853 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:05:29,853 | INPUT | INFO | Fill input Email with kdelgado@example.org
2026-05-02 14:05:30,371 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:05:30,371 | INPUT | INFO | Checking that input Email has value kdelgado@example.org
2026-05-02 14:05:30,380 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:05:30,380 | INPUT | INFO | Fill input Password with @j#T6xLvC$
2026-05-02 14:05:30,908 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:05:30,908 | INPUT | INFO | Checking that input Password has value @j#T6xLvC$
2026-05-02 14:05:30,922 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:05:30,922 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:05:32,087 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:05:32,122 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:05:32,125 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:32,159 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:32,160 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:32,189 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:32,195 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:05:32,712 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:05:32,712 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:05:32,719 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:05:32,719 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:05:32,723 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:05:32,723 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:05:33,383 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:05:33,383 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:05:33,388 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:05:33,388 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:05:33,928 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:05:33,928 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:05:33,933 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:33,949 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:05:33,950 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:05:33,950 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
