2026-01-28 16:40:28,982 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-28 16:40:29,032 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-28 16:40:29,033 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-28 16:40:29,034 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-28 16:40:29,061 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-28 16:40:29,061 | BASE_PAGE | INFO | Opening url /#/login
2026-01-28 16:40:30,394 | BASE_PAGE | INFO | Closing welcome banner
2026-01-28 16:40:31,541 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 16:40:31,542 | INPUT | INFO | Fill input Email with perryanna@example.org
2026-01-28 16:40:32,062 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 16:40:32,062 | INPUT | INFO | Checking that input Email has value perryanna@example.org
2026-01-28 16:40:32,068 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 16:40:32,069 | INPUT | INFO | Fill input Password with 1zUO@F%^^6
2026-01-28 16:40:32,588 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 16:40:32,588 | INPUT | INFO | Checking that input Password has value 1zUO@F%^^6
2026-01-28 16:40:32,602 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-28 16:40:32,602 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-28 16:40:33,746 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-28 16:40:33,795 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-28 16:40:33,797 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:33,835 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:33,837 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:33,870 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:33,873 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-28 16:40:34,381 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-28 16:40:34,381 | TEXT | INFO | Getting text Membership Fee
2026-01-28 16:40:34,387 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-28 16:40:34,387 | BUTTON | INFO | Checking button Become member is enabled
2026-01-28 16:40:34,391 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-28 16:40:34,391 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-28 16:40:35,002 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-28 16:40:35,003 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-28 16:40:35,009 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-28 16:40:35,009 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-28 16:40:35,562 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-28 16:40:35,562 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-28 16:40:35,567 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:35,584 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 16:40:35,585 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-28 16:40:35,585 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
