2026-05-02 14:11:55,024 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:11:55,066 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:11:55,067 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:11:55,068 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:11:55,101 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:11:55,102 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:11:56,603 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:11:57,739 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:11:57,739 | INPUT | INFO | Fill input Email with mckinneychristopher@example.org
2026-05-02 14:11:58,253 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:11:58,253 | INPUT | INFO | Checking that input Email has value mckinneychristopher@example.org
2026-05-02 14:11:58,259 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:11:58,259 | INPUT | INFO | Fill input Password with g^i2GUBxOJ
2026-05-02 14:11:58,782 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:11:58,782 | INPUT | INFO | Checking that input Password has value g^i2GUBxOJ
2026-05-02 14:11:58,796 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:11:58,796 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:11:59,919 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:11:59,960 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:11:59,961 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:11:59,987 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:11:59,989 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:12:00,027 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:12:00,030 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:12:00,537 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:12:00,537 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:12:00,544 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:12:00,544 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:12:00,547 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:12:00,548 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:12:01,166 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:12:01,166 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:12:01,172 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:12:01,172 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:12:01,729 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:12:01,730 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:12:01,734 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:12:01,750 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:12:01,751 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:12:01,751 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
