2026-05-03 15:38:45,460 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-03 15:38:45,501 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-03 15:38:45,501 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-03 15:38:45,503 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 15:38:45,523 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 15:38:45,524 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 15:38:46,951 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 15:38:48,099 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:38:48,099 | INPUT | INFO | Fill input Email with rogersmorgan@example.com
2026-05-03 15:38:48,612 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 15:38:48,612 | INPUT | INFO | Checking that input Email has value rogersmorgan@example.com
2026-05-03 15:38:48,619 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:38:48,619 | INPUT | INFO | Fill input Password with Y&kH8I!e)m
2026-05-03 15:38:49,159 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 15:38:49,159 | INPUT | INFO | Checking that input Password has value Y&kH8I!e)m
2026-05-03 15:38:49,169 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 15:38:49,169 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 15:38:50,296 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-03 15:38:50,327 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-03 15:38:50,329 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:50,356 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:50,357 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:50,384 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:50,387 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-03 15:38:50,898 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-03 15:38:50,898 | TEXT | INFO | Getting text Membership Fee
2026-05-03 15:38:50,904 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 15:38:50,904 | BUTTON | INFO | Checking button Become member is enabled
2026-05-03 15:38:50,907 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 15:38:50,907 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-03 15:38:51,545 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 15:38:51,545 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-03 15:38:51,553 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 15:38:51,553 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-03 15:38:52,091 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-03 15:38:52,092 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-03 15:38:52,096 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:52,111 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 15:38:52,111 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-03 15:38:52,111 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
