2026-05-02 14:20:47,535 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:20:47,578 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:20:47,578 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:20:47,580 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:20:47,601 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:20:47,601 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:20:48,955 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:20:50,100 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:20:50,100 | INPUT | INFO | Fill input Email with susan80@example.org
2026-05-02 14:20:50,616 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:20:50,616 | INPUT | INFO | Checking that input Email has value susan80@example.org
2026-05-02 14:20:50,622 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:20:50,622 | INPUT | INFO | Fill input Password with 5dD@6IEz$G
2026-05-02 14:20:51,146 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:20:51,146 | INPUT | INFO | Checking that input Password has value 5dD@6IEz$G
2026-05-02 14:20:51,161 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:20:51,162 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:20:52,313 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:20:52,341 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:20:52,341 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:52,381 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:52,385 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:52,492 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:52,496 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:20:53,004 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:20:53,004 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:20:53,011 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:20:53,011 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:20:53,015 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:20:53,015 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:20:53,654 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:20:53,654 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:20:53,660 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:20:53,660 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:20:54,203 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:20:54,204 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:20:54,208 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:54,225 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:20:54,226 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:20:54,226 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
