2026-01-26 18:00:32,321 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-26 18:00:32,371 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-26 18:00:32,372 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-26 18:00:32,373 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-26 18:00:32,400 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-26 18:00:32,400 | BASE_PAGE | INFO | Opening url /#/login
2026-01-26 18:00:33,824 | BASE_PAGE | INFO | Closing welcome banner
2026-01-26 18:00:34,961 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-26 18:00:34,961 | INPUT | INFO | Fill input Email with alvarezjerry@example.net
2026-01-26 18:00:35,480 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-26 18:00:35,480 | INPUT | INFO | Checking that input Email has value alvarezjerry@example.net
2026-01-26 18:00:35,490 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-26 18:00:35,490 | INPUT | INFO | Fill input Password with )6+WBDItbP
2026-01-26 18:00:36,022 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-26 18:00:36,022 | INPUT | INFO | Checking that input Password has value )6+WBDItbP
2026-01-26 18:00:36,037 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-26 18:00:36,038 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-26 18:00:37,211 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-26 18:00:37,268 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-26 18:00:37,269 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:37,293 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:37,299 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:37,335 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:37,339 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-26 18:00:37,848 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-26 18:00:37,848 | TEXT | INFO | Getting text Membership Fee
2026-01-26 18:00:37,855 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-26 18:00:37,855 | BUTTON | INFO | Checking button Become member is enabled
2026-01-26 18:00:37,859 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-26 18:00:37,859 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-26 18:00:38,486 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-26 18:00:38,486 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-26 18:00:38,496 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-26 18:00:38,497 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-26 18:00:39,034 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-26 18:00:39,034 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-26 18:00:39,039 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:39,058 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-26 18:00:39,059 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-26 18:00:39,059 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
