2026-05-02 14:24:53,382 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-02 14:24:53,421 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-02 14:24:53,422 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-02 14:24:53,423 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:24:53,442 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-02 14:24:53,443 | BASE_PAGE | INFO | Opening url /#/login
2026-05-02 14:24:54,728 | BASE_PAGE | INFO | Closing welcome banner
2026-05-02 14:24:55,880 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:55,880 | INPUT | INFO | Fill input Email with justintyler@example.org
2026-05-02 14:24:56,398 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-02 14:24:56,398 | INPUT | INFO | Checking that input Email has value justintyler@example.org
2026-05-02 14:24:56,404 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:56,404 | INPUT | INFO | Fill input Password with 3jRhas^z%O
2026-05-02 14:24:56,935 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-02 14:24:56,936 | INPUT | INFO | Checking that input Password has value 3jRhas^z%O
2026-05-02 14:24:56,947 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-02 14:24:56,947 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-02 14:24:58,152 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-02 14:24:58,186 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-02 14:24:58,187 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:58,227 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:58,229 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:58,259 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:58,263 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-02 14:24:58,771 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-02 14:24:58,771 | TEXT | INFO | Getting text Membership Fee
2026-05-02 14:24:58,777 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:24:58,778 | BUTTON | INFO | Checking button Become member is enabled
2026-05-02 14:24:58,781 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-02 14:24:58,781 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-02 14:24:59,415 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:24:59,415 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-02 14:24:59,419 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-02 14:24:59,419 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-02 14:24:59,959 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-02 14:24:59,959 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-02 14:24:59,964 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:59,981 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-02 14:24:59,981 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-02 14:24:59,982 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
