2026-05-03 16:18:19,497 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-03 16:18:19,541 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-03 16:18:19,541 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-03 16:18:19,543 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:18:19,565 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-03 16:18:19,565 | BASE_PAGE | INFO | Opening url /#/login
2026-05-03 16:18:20,662 | BASE_PAGE | INFO | Closing welcome banner
2026-05-03 16:18:21,820 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:18:21,820 | INPUT | INFO | Fill input Email with colonstephen@example.net
2026-05-03 16:18:22,334 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-03 16:18:22,335 | INPUT | INFO | Checking that input Email has value colonstephen@example.net
2026-05-03 16:18:22,340 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:18:22,341 | INPUT | INFO | Fill input Password with V$6lFM&mKr
2026-05-03 16:18:22,858 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-03 16:18:22,859 | INPUT | INFO | Checking that input Password has value V$6lFM&mKr
2026-05-03 16:18:22,873 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-03 16:18:22,874 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-03 16:18:24,013 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-03 16:18:24,041 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-03 16:18:24,042 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:24,085 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:24,086 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:24,120 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:24,122 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-03 16:18:24,632 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-03 16:18:24,633 | TEXT | INFO | Getting text Membership Fee
2026-05-03 16:18:24,638 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:18:24,639 | BUTTON | INFO | Checking button Become member is enabled
2026-05-03 16:18:24,642 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-03 16:18:24,642 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-03 16:18:25,260 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:18:25,260 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-03 16:18:25,264 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-03 16:18:25,265 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-03 16:18:25,789 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-03 16:18:25,789 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-03 16:18:25,794 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:25,810 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-03 16:18:25,810 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-03 16:18:25,810 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
