2026-01-27 21:47:10,833 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-27 21:47:10,884 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-27 21:47:10,885 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-27 21:47:10,886 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-27 21:47:10,915 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-27 21:47:10,916 | BASE_PAGE | INFO | Opening url /#/login
2026-01-27 21:47:12,339 | BASE_PAGE | INFO | Closing welcome banner
2026-01-27 21:47:13,491 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:13,491 | INPUT | INFO | Fill input Email with kevin98@example.net
2026-01-27 21:47:14,008 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-27 21:47:14,008 | INPUT | INFO | Checking that input Email has value kevin98@example.net
2026-01-27 21:47:14,017 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:14,017 | INPUT | INFO | Fill input Password with Y01nZykn^q
2026-01-27 21:47:14,548 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-27 21:47:14,548 | INPUT | INFO | Checking that input Password has value Y01nZykn^q
2026-01-27 21:47:14,563 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-27 21:47:14,563 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-27 21:47:15,726 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-27 21:47:15,780 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-27 21:47:15,781 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:15,809 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:15,810 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:15,837 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:15,839 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-27 21:47:16,355 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-27 21:47:16,355 | TEXT | INFO | Getting text Membership Fee
2026-01-27 21:47:16,361 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-27 21:47:16,361 | BUTTON | INFO | Checking button Become member is enabled
2026-01-27 21:47:16,364 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-27 21:47:16,364 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-27 21:47:16,976 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-27 21:47:16,977 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-27 21:47:16,982 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-27 21:47:16,982 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-27 21:47:17,517 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-27 21:47:17,517 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-27 21:47:17,521 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:17,538 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-27 21:47:17,538 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-27 21:47:17,539 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
