2026-05-23 19:15:01,543 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-23 19:15:01,576 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-23 19:15:01,577 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-23 19:15:01,578 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-23 19:15:01,595 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-23 19:15:01,595 | BASE_PAGE | INFO | Opening url /#/login
2026-05-23 19:15:02,445 | BASE_PAGE | INFO | Closing welcome banner
2026-05-23 19:15:03,539 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:15:03,539 | INPUT | INFO | Fill input Email with angelarobinson@example.net
2026-05-23 19:15:04,053 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-23 19:15:04,053 | INPUT | INFO | Checking that input Email has value angelarobinson@example.net
2026-05-23 19:15:04,058 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:15:04,058 | INPUT | INFO | Fill input Password with mM&5G2uX7r
2026-05-23 19:15:04,570 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-23 19:15:04,570 | INPUT | INFO | Checking that input Password has value mM&5G2uX7r
2026-05-23 19:15:04,580 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-23 19:15:04,580 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-23 19:15:05,655 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-23 19:15:05,672 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-23 19:15:05,673 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:05,688 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:05,689 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:05,706 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:05,707 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-23 19:15:06,213 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-23 19:15:06,213 | TEXT | INFO | Getting text Membership Fee
2026-05-23 19:15:06,218 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-23 19:15:06,218 | BUTTON | INFO | Checking button Become member is enabled
2026-05-23 19:15:06,221 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-23 19:15:06,222 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-23 19:15:06,813 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-23 19:15:06,813 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-23 19:15:06,817 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-23 19:15:06,817 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-23 19:15:07,333 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-23 19:15:07,333 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-23 19:15:07,338 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:07,354 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-23 19:15:07,355 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-23 19:15:07,355 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
