2026-01-28 16:59:58,874 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-01-28 16:59:58,928 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-01-28 16:59:58,928 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-01-28 16:59:58,929 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-01-28 16:59:58,956 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-01-28 16:59:58,957 | BASE_PAGE | INFO | Opening url /#/login
2026-01-28 17:00:00,377 | BASE_PAGE | INFO | Closing welcome banner
2026-01-28 17:00:01,518 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 17:00:01,519 | INPUT | INFO | Fill input Email with matthewrobinson@example.com
2026-01-28 17:00:02,034 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-01-28 17:00:02,034 | INPUT | INFO | Checking that input Email has value matthewrobinson@example.com
2026-01-28 17:00:02,040 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 17:00:02,040 | INPUT | INFO | Fill input Password with M_7IBb9IMM
2026-01-28 17:00:02,555 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-01-28 17:00:02,555 | INPUT | INFO | Checking that input Password has value M_7IBb9IMM
2026-01-28 17:00:02,568 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-01-28 17:00:02,568 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-01-28 17:00:03,716 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-01-28 17:00:03,760 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-01-28 17:00:03,761 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:03,799 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:03,800 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:03,847 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:03,851 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-01-28 17:00:04,359 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-01-28 17:00:04,359 | TEXT | INFO | Getting text Membership Fee
2026-01-28 17:00:04,365 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-28 17:00:04,366 | BUTTON | INFO | Checking button Become member is enabled
2026-01-28 17:00:04,369 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-01-28 17:00:04,369 | BASE_ELEMENT | INFO | Clicking button Become member
2026-01-28 17:00:05,114 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-28 17:00:05,114 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-01-28 17:00:05,119 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-01-28 17:00:05,119 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-01-28 17:00:05,637 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-01-28 17:00:05,637 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-01-28 17:00:05,641 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:05,660 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-01-28 17:00:05,660 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-01-28 17:00:05,661 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
