2026-05-01 21:42:10,123 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Users
2026-05-01 21:42:10,168 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Users
2026-05-01 21:42:10,170 | SCHEMA_ASSERTIONS | INFO | Validating response schema
2026-05-01 21:42:10,171 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:42:10,194 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/SecurityAnswers
2026-05-01 21:42:10,194 | BASE_PAGE | INFO | Opening url /#/login
2026-05-01 21:42:11,362 | BASE_PAGE | INFO | Closing welcome banner
2026-05-01 21:42:12,505 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:42:12,505 | INPUT | INFO | Fill input Email with zbutler@example.org
2026-05-01 21:42:13,022 | BASE_ELEMENT | INFO | Getting locator input#email at index 0
2026-05-01 21:42:13,022 | INPUT | INFO | Checking that input Email has value zbutler@example.org
2026-05-01 21:42:13,028 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:42:13,028 | INPUT | INFO | Fill input Password with 4z5$KRRv&T
2026-05-01 21:42:13,547 | BASE_ELEMENT | INFO | Getting locator input#password at index 0
2026-05-01 21:42:13,547 | INPUT | INFO | Checking that input Password has value 4z5$KRRv&T
2026-05-01 21:42:13,561 | BASE_ELEMENT | INFO | Getting locator button#loginButton at index 0
2026-05-01 21:42:13,561 | BASE_ELEMENT | INFO | Clicking button Login Button
2026-05-01 21:42:14,722 | HTTP_CLIENT | INFO | Make POST request to http://127.0.0.1:3000/api/Cards
2026-05-01 21:42:14,749 | HTTP_CLIENT | INFO | Got response 201 Created from http://127.0.0.1:3000/api/Cards
2026-05-01 21:42:14,750 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:14,776 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:14,777 | HTTP_CLIENT | INFO | Make PUT request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:14,805 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:14,808 | BASE_PAGE | INFO | Opening url /#/deluxe-membership
2026-05-01 21:42:15,324 | BASE_ELEMENT | INFO | Getting locator div.card-text span at index 1
2026-05-01 21:42:15,324 | TEXT | INFO | Getting text Membership Fee
2026-05-01 21:42:15,330 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:42:15,330 | BUTTON | INFO | Checking button Become member is enabled
2026-05-01 21:42:15,334 | BASE_ELEMENT | INFO | Getting locator button[aria-label="Become deluxe member"] at index 0
2026-05-01 21:42:15,334 | BASE_ELEMENT | INFO | Clicking button Become member
2026-05-01 21:42:15,939 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:42:15,939 | BUTTON | INFO | Checking button Pay with e-wallet is enabled
2026-05-01 21:42:15,943 | BASE_ELEMENT | INFO | Getting locator div button[type="submit"] at index 1
2026-05-01 21:42:15,943 | BASE_ELEMENT | INFO | Clicking button Pay with e-wallet
2026-05-01 21:42:16,476 | BASE_ELEMENT | INFO | Getting locator div.heading span at index 0
2026-05-01 21:42:16,476 | BASE_ELEMENT | INFO | Checking that text Membership activated contains text You are already a deluxe member!
2026-05-01 21:42:16,480 | HTTP_CLIENT | INFO | Make GET request to http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:16,496 | HTTP_CLIENT | INFO | Got response 200 OK from http://127.0.0.1:3000/rest/wallet/balance
2026-05-01 21:42:16,497 | E_WALLET_ASSERTIONS | INFO | Checking balance changes after paying membership fee
2026-05-01 21:42:16,497 | BASE_ASSERTIONS | INFO | Check that balance after paying membership fee equals 0
